City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Oda,JP,72.95,overcast clouds,35.1833,132.5,Sky Hotel Oda
459,San Luis,AR,76.53,overcast clouds,-33.295,-66.3356,Huarpes Hotel
460,Ati,TD,76.12,moderate rain,13.2154,18.3353,
463,Korla,CN,69.42,clear sky,41.7597,86.1469,Gulisitan Hotel
464,Vangaindrano,MG,65.79,light rain,-23.35,47.6,Hotel Fanilo
465,Mungwi,ZM,68.63,scattered clouds,-10.1732,31.3694,Ilamfya Guest House
469,Shingu,JP,78.08,overcast clouds,33.7333,135.9833,Shingu UI Hotel
472,Palu,ID,74.34,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
474,Vanimo,PG,77.85,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
477,Salina Cruz,MX,79.74,overcast clouds,16.1667,-95.2,Amerik HOTEL
478,Lewiston,US,67.41,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
484,Sendhwa,IN,71.78,broken clouds,21.6833,75.1,Hotel Shagun Garden
485,Gillette,US,72.1,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
486,Vibo Valentia,IT,72.19,clear sky,38.6996,16.1274,Hotel Barbieri
487,Katobu,ID,73.42,overcast clouds,-4.9408,122.5276,La Ode Husein
490,Ambilobe,MG,68.7,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
498,Matara,LK,76.26,few clouds,5.9485,80.5353,Amaloh Boutique Resort
504,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
509,Kontagora,NG,73.56,overcast clouds,10.3999,5.4695,Queens Guest Inn
510,Pasni,PK,79.56,broken clouds,25.2631,63.471,Kashmiri Hotal
511,Takoradi,GH,75.45,broken clouds,4.8845,-1.7554,Raybow International Hotel
513,Harper,LR,76.96,light rain,4.375,-7.7169,Screensaver
516,Lafiagi,NG,77.09,overcast clouds,8.8667,5.4167,Bus group international
517,Pringsewu,ID,74.08,overcast clouds,-5.3582,104.9744,Urban Style by Front One
518,Chenzhou,CN,72.93,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
520,Monywa,MM,79.77,broken clouds,22.1167,95.1333,Monywa Hotel
521,Alexandria,EG,73.94,clear sky,31.2156,29.9553,Royal Crown Hotel
528,Tura,IN,72.91,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
530,Pakokku,MM,79.88,overcast clouds,21.3333,95.1,Royal Palace Motel
533,Hualmay,PE,66.02,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
535,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
541,Ouegoa,NC,72.05,clear sky,-20.35,164.4333,
544,Sekoma,BW,67.62,clear sky,-24.4,23.8833,
547,Banda Aceh,ID,78.85,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
548,Shimoda,JP,73.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
551,Yorosso,ML,77.11,few clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
552,Nador,MA,75.45,clear sky,35.174,-2.9287,Hôtel La Giralda
553,Vaitape,PF,77.97,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
