City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Georgetown,MY,5.4112,100.3354,78.73,96,20,3.44,few clouds
114,Moree,AU,-29.4667,149.85,54.5,54,98,7.25,overcast clouds
115,Zhangye,CN,38.9342,100.4517,61.32,44,1,2.06,clear sky
116,Shache,CN,38.4167,77.2406,77.72,21,100,5.66,overcast clouds
117,Katsuura,JP,35.1333,140.3,77.45,74,100,10.8,overcast clouds
118,Cape Town,ZA,-33.9258,18.4232,61.21,79,75,8.05,broken clouds
119,Rio Grande,BR,-32.035,-52.0986,71.71,71,0,14.27,clear sky
120,Labuhan,ID,-6.8844,112.2051,76.55,83,100,7.58,overcast clouds
121,Mattru,SL,7.6244,-11.8332,74.08,97,100,3.29,overcast clouds
122,Arlit,NE,18.7369,7.3853,89.78,36,24,20.74,few clouds
123,Kautokeino,NO,69.0125,23.0412,41.99,97,100,18.77,overcast clouds
124,Humboldt,US,40.6665,-123.9178,58.12,49,23,7.07,few clouds
125,Fonte Boa,BR,-2.4959,-66.2662,83.84,68,100,2.57,overcast clouds
126,Ahipara,NZ,-35.1667,173.1667,53.44,65,82,2.35,broken clouds
127,Castro,BR,-24.7911,-50.0119,58.06,77,72,7.27,broken clouds
128,Tiznit,MA,29.5833,-9.5,66.2,86,94,7.65,overcast clouds
129,Baruun-Urt,MN,46.6806,113.2792,46.13,66,0,22.19,clear sky
130,Hambantota,LK,6.1241,81.1185,77.68,83,3,15.21,clear sky
131,Nicoya,CR,10.1483,-85.452,82.4,78,77,3.94,broken clouds
132,Yulara,AU,-25.2406,130.9889,54.7,46,0,10.18,clear sky
133,Karachev,RU,53.1229,34.9852,49.3,89,21,7.67,few clouds
134,Gidam,IN,18.9833,81.4,72.66,95,100,2.86,overcast clouds
135,San Ramon,US,37.7799,-121.978,79.48,54,0,6.91,clear sky
136,Mahebourg,MU,-20.4081,57.7,71.26,83,75,12.66,broken clouds
137,Moindou,NC,-21.6924,165.677,69.42,70,9,5.12,clear sky
138,Boa Vista,BR,2.8197,-60.6733,93.18,43,40,6.91,scattered clouds
139,Usak,TR,38.5,29.4167,70.9,26,0,1.7,clear sky
140,Muros,ES,42.7762,-9.0603,69.1,78,25,11.07,scattered clouds
141,Port Elizabeth,ZA,-33.918,25.5701,61.32,91,20,12.66,few clouds
142,Upernavik,GL,72.7868,-56.1549,37.65,89,15,12.84,few clouds
143,Yabrud,SY,33.9674,36.6574,67.89,33,0,1.95,clear sky
144,Bubaque,GW,11.2833,-15.8333,81.1,82,100,12.24,overcast clouds
145,Peniche,PT,39.3558,-9.3811,70.29,89,4,10.02,clear sky
146,Catuday,PH,16.2923,119.8062,78.64,79,100,10.2,overcast clouds
147,Richards Bay,ZA,-28.783,32.0377,73.26,61,1,13.44,clear sky
148,Hobyo,SO,5.3505,48.5268,76.69,86,26,25.55,scattered clouds
149,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.77,66,99,2.8,heavy intensity rain
150,Thompson,CA,55.7435,-97.8558,66.36,48,75,4.61,broken clouds
151,Caluquembe,AO,-13.7833,14.6833,67.51,21,11,1.79,few clouds
152,Rocha,UY,-34.4833,-54.3333,64.98,64,0,12.35,clear sky
153,Chubbuck,US,42.9208,-112.4661,72.14,49,20,13.8,few clouds
154,Sierra Vista,US,31.5545,-110.3037,90.73,14,0,18.41,clear sky
155,Krasnyy,RU,54.5678,31.4333,47.7,73,8,9.75,clear sky
156,Hilo,US,19.7297,-155.09,85.28,76,40,5.99,scattered clouds
157,Hithadhoo,MV,-0.6,73.0833,81.09,73,9,4.05,clear sky
158,Ayna,PE,-12.65,-73.9167,70.54,59,54,4.72,broken clouds
159,Parana,AR,-31.732,-60.5238,80.55,34,84,17.58,broken clouds
160,Sola,VU,-13.8833,167.55,77.67,83,18,3.44,few clouds
161,Stolin,BY,51.8912,26.846,49.68,81,32,7.56,scattered clouds
162,Itarema,BR,-2.9248,-39.9167,80.17,76,28,18.48,scattered clouds
163,Carlsbad,US,33.1581,-117.3506,85.71,68,0,10.36,clear sky
164,Beyneu,KZ,45.3167,55.2,70.39,36,100,3.69,overcast clouds
165,Linares,CL,-35.85,-71.6,62.26,70,100,8.1,overcast clouds
166,Ngora,UG,1.4314,33.7772,65.91,82,55,2.91,broken clouds
167,Russell,US,32.3502,-85.1999,85.96,45,0,5.75,clear sky
168,Kaitangata,NZ,-46.2817,169.8464,39.42,83,23,7.87,few clouds
169,Fortuna,US,40.5982,-124.1573,66.92,75,25,5.01,scattered clouds
